Year,Player_Name,Matches_Played,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Half_Centuries,Fours,Sixes,Catches_Taken,Balls_Bowled,Runs_Conceded,Wickets_Taken,Bowling_Average,Four_Wicket_Hauls
2019,Vijay Shankar,15,2,244,40*,20.33,193,126.42,0,11,12,10,48,70,1,70,0
2018,Vijay Shankar,13,7,212,54*,53,148,143.24,1,11,11,6,30,58,1,58,0
2017,Vijay Shankar,4,2,101,63*,50.5,75,134.66,1,12,1,1,0,0,0,0,0
2014,Vijay Shankar,1,0,0,0,0,0,0,0,0,0,0,6,19,0,0,0
2024,Azmatullah Omarzai,2,0,17,17,17,11,154.55,0,1,1,0,36,57,2,28.5,0
2023,Shahrukh Khan,14,6,156,41*,22.29,94,165.96,0,13,9,7,0,0,0,0,0
2022,Shahrukh Khan,8,1,117,26,16.71,108,108.33,0,4,9,3,0,0,0,0,0
2021,Shahrukh Khan,11,3,153,47,21.85,114,134.21,0,9,10,4,0,0,0,0,0
2023,Jayant Yadav,1,0,0,0,0,0,0,0,0,0,2,24,26,0,0,0
2021,Jayant Yadav,5,1,34,23,17,26,130.76,0,2,1,2,102,130,2,65,0
2020,Jayant Yadav,2,0,0,0,0,0,0,0,0,0,0,42,43,1,43,0
2019,Jayant Yadav,2,0,0,0,0,0,0,0,0,0,2,42,50,1,50,0
2017,Jayant Yadav,2,0,0,0,0,0,0,0,0,0,0,36,42,0,0,0
2016,Jayant Yadav,5,0,6,5,3,10,60,0,0,0,1,102,125,2,62.5,0
2015,Jayant Yadav,3,0,0,0,0,0,0,0,0,0,1,42,29,2,14.5,0
2024,Rahul Tewatia,1,0,22,22,22,15,146.67,0,2,1,1,0,0,0,0,0
2023,Rahul Tewatia,17,6,87,20*,21.75,57,152.63,0,3,7,8,13,15,0,0,0
2022,Rahul Tewatia,16,5,217,43*,31,147,147.62,0,22,9,5,36,76,0,0,0
2021,Rahul Tewatia,14,1,155,44,15.5,147,105.44,0,11,6,2,222,340,8,42.5,0
2020,Rahul Tewatia,14,5,255,53,42.5,183,139.34,1,13,17,9,276,326,10,32.6,0
2019,Rahul Tewatia,5,3,26,11*,26,22,118.18,0,2,1,6,38,42,2,21,0
2018,Rahul Tewatia,8,2,50,24,16.66,43,116.27,0,5,1,2,132,173,6,28.83,0
2017,Rahul Tewatia,3,1,19,15*,19,11,172.72,0,4,0,0,54,49,3,16.33,0
2015,Rahul Tewatia,1,0,0,0,0,0,0,0,0,0,0,18,31,1,31,0
2014,Rahul Tewatia,3,0,16,16,16,13,123.07,0,0,1,0,54,59,2,29.5,0
2021,Mohammad Shami,14,3,13,9*,13,17,76.47,0,0,0,1,316,395,19,20.78,0
2020,Mohammad Shami,14,2,2,2*,2,3,66.66,0,0,0,2,322,460,20,23,0
2019,Mohammad Shami,14,1,1,1*,1,2,50,0,0,0,5,324,469,19,24.68,0
2018,Mohammad Shami,4,0,7,7,7,6,116.66,0,1,0,2,83,144,3,48,0
2017,Mohammad Shami,8,2,36,21,9,24,150,0,4,2,0,156,243,5,48.6,0
2016,Mohammad Shami,8,2,2,2*,0,4,50,0,0,0,1,151,244,5,48.8,0
2014,Mohammad Shami,12,2,3,1*,1.5,7,42.85,0,0,0,0,264,369,7,52.71,0
2013,Mohammad Shami,3,0,5,5,5,10,50,0,0,0,0,54,78,1,78,0
2023,Kartik Tyagi,3,0,0,0,0,0,0,0,0,0,0,37,92,1,92,0
2022,Kartik Tyagi,2,0,7,7,3.5,6,116.67,0,1,0,0,48,79,1,79,0
2021,Kartik Tyagi,4,1,2,1*,2,4,50,0,0,0,1,84,124,4,31,0
2020,Kartik Tyagi,10,2,4,2*,4,6,66.66,0,0,0,2,229,367,9,40.77,0
No stats,Sushant Mishra,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024,Spencer Johnson,2,0,0,0,0,0,0,0,0,0,1,30,52,3,17.33,0
2023,Noor Ahmad,13,1,8,7*,4,9,88.89,0,1,0,2,283,369,16,23.06,0
2024,Sai Kishore,2,0,0,0,0,0,0,0,0,0,0,42,52,2,26,0
2022,Sai Kishore,5,0,0,0,0,0,0,0,0,0,3,96,121,6,20.17,0
2024,Umesh Yadav,2,0,0,0,0,0,0,0,0,0,0,30,58,2,29,0
2023,Umesh Yadav,8,3,19,6*,9.5,18,105.56,0,1,0,3,114,189,1,189,0
2022,Umesh Yadav,12,3,55,21,13.75,40,137.5,0,4,4,5,288,339,16,21.19,1
2020,Umesh Yadav,2,0,0,0*,0,2,0,0,0,0,0,42,83,0,0,0
2019,Umesh Yadav,11,5,25,14,12.5,25,100,0,3,1,4,227,371,8,46.37,0
2018,Umesh Yadav,14,1,3,1*,0.75,11,27.27,0,0,0,2,319,418,20,20.9,0
2017,Umesh Yadav,14,4,10,4*,0,13,76.92,0,0,0,4,291,410,17,24.11,1
2016,Umesh Yadav,9,1,9,7*,9,5,180,0,0,1,1,156,213,10,23.4,0
2015,Umesh Yadav,12,3,29,24*,29,14,207.14,0,5,1,5,252,382,10,38.2,0
2014,Umesh Yadav,12,0,2,2,2,4,50,0,0,0,2,270,367,11,33.36,0
2013,Umesh Yadav,16,7,38,12*,38,38,100,0,3,1,5,347,508,16,31.75,1
2012,Umesh Yadav,17,1,2,1*,1,7,28.57,0,0,0,3,366,453,19,23.84,0
2011,Umesh Yadav,7,1,1,1*,1,5,20,0,0,0,3,108,169,2,84.5,0
2010,Umesh Yadav,7,1,3,3*,0,4,75,0,0,0,1,144,184,6,30.66,0
2024,Rashid Khan,2,1,4,4*,0,3,133.33,0,0,0,1,42,57,1,57,0
2023,Rashid Khan,17,5,130,79*,32.5,60,216.67,1,8,13,10,402,552,27,20.44,1
2022,Rashid Khan,16,4,91,40,22.75,44,206.82,0,3,9,7,383,421,19,22.16,1
2021,Rashid Khan,14,2,83,22,10.37,69,120.28,0,9,2,2,336,375,18,20.83,0
2020,Rashid Khan,16,3,35,14,8.75,30,116.66,0,3,2,3,384,344,20,17.2,0
2019,Rashid Khan,15,3,34,17*,6.8,23,147.82,0,2,2,4,360,377,17,22.17,0
2018,Rashid Khan,17,2,59,34*,11.8,31,190.32,0,3,6,6,408,458,21,21.8,0
2017,Rashid Khan,14,1,11,6*,5.5,9,122.22,0,0,1,5,324,358,17,21.05,0
2023,Joshua Little,10,0,0,0,0,0,0,0,0,0,5,204,294,7,42,0
2024,Mohit Sharma,2,0,0,0,0,0,0,0,0,0,1,30,39,2,19.5,0
2023,Mohit Sharma,14,1,0,0*,0,1,0,0,0,0,6,265,361,27,13.37,2
2019,Mohit Sharma,1,1,0,0*,0,2,0,0,0,0,0,18,27,1,27,0
2018,Mohit Sharma,9,3,10,4*,10,13,76.92,0,1,0,2,178,322,7,46,0
2017,Mohit Sharma,14,1,51,13,8.5,50,102,0,3,1,3,274,410,13,31.53,0
2016,Mohit Sharma,14,2,32,15,8,26,123.07,0,3,1,3,291,407,13,31.3,0
2015,Mohit Sharma,16,3,28,21*,9.33,18,155.55,0,1,2,5,342,481,14,34.35,0
2014,Mohit Sharma,16,1,1,1*,0,3,33.33,0,0,0,3,323,452,23,19.65,1
2020,Mohit Sharma,1,0,0,0,0,0,0,0,0,0,0,24,45,1,45,0
2013,Mohit Sharma,15,0,0,0,0,0,0,0,0,0,0,304,326,20,16.3,0
No stats,Manav Suthar,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024,Shreyas Iyer,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
2022,Shreyas Iyer,14,1,401,85,30.85,298,134.56,3,41,11,5,6,7,0,0,0
2021,Shreyas Iyer,8,3,175,47*,35,171,102.33,0,7,5,6,0,0,0,0,0
2020,Shreyas Iyer,17,2,519,88*,34.6,421,123.27,3,40,16,6,0,0,0,0,0
2019,Shreyas Iyer,16,1,463,67,30.86,386,119.94,3,41,14,8,0,0,0,0,0
2018,Shreyas Iyer,14,3,411,93*,37.36,310,132.58,4,29,21,5,0,0,0,0,0
2017,Shreyas Iyer,12,2,338,96,33.8,243,139.09,2,36,10,3,0,0,0,0,0
2016,Shreyas Iyer,6,0,30,19,5,43,69.76,0,2,1,4,0,0,0,0,0
